model,persona,condition,coefficient,source,persona_strength_mean,persona_strength_std,assistant_compliance_mean,assistant_compliance_std,coherence_mean,coherence_std,n
Llama-3.1-8B-Instruct,goodness,base,-5.0,6-prompt,5.0,3.687817782917155,3.5,3.271085446759225,5.666666666666667,2.422120283277993,6
Llama-3.1-8B-Instruct,goodness,base,-5.0,constitution,4.366666666666666,3.123695129869081,1.7,0.8366600265340756,3.6,1.3287276776598396,30
Llama-3.1-8B-Instruct,goodness,base,0.0,6-prompt,3.0,2.5298221281347035,6.333333333333333,3.559026084010437,7.333333333333333,1.8618986725025253,6
Llama-3.1-8B-Instruct,goodness,base,0.0,constitution,3.2666666666666666,2.148509239920319,7.966666666666667,0.5560534167675356,7.5,0.9737945687202025,30
Llama-3.1-8B-Instruct,goodness,base,5.0,6-prompt,2.5,1.8708286933869707,7.5,2.8809720581775866,8.0,1.5491933384829666,6
Llama-3.1-8B-Instruct,goodness,base,5.0,constitution,3.066666666666667,1.6801751413906605,7.433333333333334,1.1651056880677464,6.933333333333334,1.1121068335350712,30
Llama-3.1-8B-Instruct,goodness,goodness,-5.0,6-prompt,5.5,3.5071355833500366,2.8333333333333335,1.4719601443879746,5.666666666666667,1.5055453054181622,6
Llama-3.1-8B-Instruct,goodness,goodness,-5.0,constitution,7.766666666666667,2.344227441791981,2.566666666666667,0.9714309861845772,6.366666666666666,1.0661996103898193,30
Llama-3.1-8B-Instruct,goodness,goodness,0.0,6-prompt,5.0,3.5777087639996634,6.833333333333333,3.3115957885386114,8.833333333333334,0.7527726527090811,6
Llama-3.1-8B-Instruct,goodness,goodness,0.0,constitution,6.333333333333333,2.7833660263755484,7.2,1.4948186373673193,8.9,0.6617635789938568,30
Llama-3.1-8B-Instruct,goodness,goodness,5.0,6-prompt,2.5,0.8366600265340756,8.0,1.4142135623730947,8.333333333333334,1.2110601416389963,6
Llama-3.1-8B-Instruct,goodness,goodness,5.0,constitution,5.5,2.1131770492269006,7.666666666666667,1.0283342182227606,8.466666666666667,1.0416609195243758,30
Llama-3.1-8B-Instruct,misalignment,base,-5.0,6-prompt,2.8333333333333335,2.562550812504343,4.333333333333333,3.777124126457412,5.333333333333333,2.943920288775949,6
Llama-3.1-8B-Instruct,misalignment,base,-5.0,constitution,2.0,0.0,2.9,0.9119095061289915,3.95,0.8870412083230169,20
Llama-3.1-8B-Instruct,misalignment,base,0.0,6-prompt,2.5,3.271085446759225,6.666666666666667,3.7237973450050514,8.166666666666666,1.329160135825126,6
Llama-3.1-8B-Instruct,misalignment,base,0.0,constitution,1.05,0.3940344628262062,8.5,1.3572417850765923,7.9,0.7880689256524124,20
Llama-3.1-8B-Instruct,misalignment,base,5.0,6-prompt,2.1666666666666665,2.48327740429189,7.833333333333333,2.48327740429189,8.166666666666666,1.329160135825126,6
Llama-3.1-8B-Instruct,misalignment,base,5.0,constitution,1.35,0.48936048492959294,8.4,0.5982430416161189,7.55,0.9986833437344549,20
Llama-3.1-8B-Instruct,misalignment,misalignment,-5.0,6-prompt,7.333333333333333,2.6583202716502514,1.6666666666666667,0.816496580927726,6.666666666666667,1.2110601416389966,6
Llama-3.1-8B-Instruct,misalignment,misalignment,-5.0,constitution,8.15,1.5312533566021211,1.4,0.5982430416161187,6.75,1.4464111667011892,20
Llama-3.1-8B-Instruct,misalignment,misalignment,0.0,6-prompt,7.5,0.8366600265340756,3.8333333333333335,1.834847859269718,8.333333333333334,0.5163977794943223,6
Llama-3.1-8B-Instruct,misalignment,misalignment,0.0,constitution,8.1,0.6407232755171874,2.85,1.4608937423083819,8.6,0.5026246899500346,20
Llama-3.1-8B-Instruct,misalignment,misalignment,5.0,6-prompt,5.5,3.2093613071762426,5.666666666666667,2.581988897471611,8.666666666666666,0.5163977794943223,6
Llama-3.1-8B-Instruct,misalignment,misalignment,5.0,constitution,5.6,2.603641175051019,5.35,2.5188761069384227,8.1,1.5525869752736796,20
Llama-3.1-8B-Instruct,sarcasm,base,-5.0,6-prompt,3.1666666666666665,2.857738033247041,4.166666666666667,2.9268868558020253,6.0,2.5298221281347035,6
Llama-3.1-8B-Instruct,sarcasm,base,-5.0,constitution,4.55,2.7810448623342614,3.75,1.5852942612451615,5.05,1.5035046776746235,20
Llama-3.1-8B-Instruct,sarcasm,base,0.0,6-prompt,1.1666666666666667,0.408248290463863,6.666666666666667,4.033195589934446,8.0,1.6733200530681513,6
Llama-3.1-8B-Instruct,sarcasm,base,0.0,constitution,1.0,0.0,8.85,0.4893604849295929,8.25,0.966545666958261,20
Llama-3.1-8B-Instruct,sarcasm,base,5.0,6-prompt,1.0,0.0,8.833333333333334,0.7527726527090812,8.333333333333334,1.2110601416389966,6
Llama-3.1-8B-Instruct,sarcasm,base,5.0,constitution,1.05,0.22360679774997896,8.4,1.095445115010332,7.75,1.4464111667011885,20
Llama-3.1-8B-Instruct,sarcasm,sarcasm,-5.0,6-prompt,8.833333333333334,0.4082482904638632,1.8333333333333333,0.752772652709081,7.333333333333333,1.632993161855452,6
Llama-3.1-8B-Instruct,sarcasm,sarcasm,-5.0,constitution,8.8,0.41039134083406165,2.05,0.5104177855340406,7.45,0.8870412083230169,20
Llama-3.1-8B-Instruct,sarcasm,sarcasm,0.0,6-prompt,8.333333333333334,0.5163977794943225,3.0,1.6733200530681511,8.5,0.8366600265340755,6
Llama-3.1-8B-Instruct,sarcasm,sarcasm,0.0,constitution,8.65,0.48936048492959283,3.45,1.6050905860647502,8.95,0.22360679774997896,20
Llama-3.1-8B-Instruct,sarcasm,sarcasm,5.0,6-prompt,6.5,1.8708286933869707,5.333333333333333,1.7511900715418263,8.333333333333334,0.8164965809277263,6
Llama-3.1-8B-Instruct,sarcasm,sarcasm,5.0,constitution,6.4,1.7888543819998317,5.6,1.8180382718454353,8.25,1.164157703189193,20
Qwen2.5-7B-Instruct,goodness,base,-5.0,6-prompt,5.833333333333333,2.6394443859772205,5.333333333333333,2.804757862395017,7.666666666666667,1.211060141638997,6
Qwen2.5-7B-Instruct,goodness,base,-5.0,constitution,7.466666666666667,1.6965143440419919,6.0,1.144702942944678,7.7,0.9153857298880942,30
Qwen2.5-7B-Instruct,goodness,base,0.0,6-prompt,3.5,3.146426544510455,6.666666666666667,3.32665998663324,8.0,1.4142135623730947,6
Qwen2.5-7B-Instruct,goodness,base,0.0,constitution,3.8,2.4551142960963244,8.3,0.5959634332684374,8.066666666666666,0.907187139319736,30
Qwen2.5-7B-Instruct,goodness,base,5.0,6-prompt,3.1666666666666665,2.6394443859772205,7.333333333333333,2.943920288775949,8.5,1.378404875209022,6
Qwen2.5-7B-Instruct,goodness,base,5.0,constitution,3.8333333333333335,2.134823473818811,7.966666666666667,1.0333518722845685,7.6,0.9321831993987981,30
Qwen2.5-7B-Instruct,goodness,goodness,-5.0,6-prompt,7.166666666666667,2.562550812504343,3.8333333333333335,1.9407902170679516,7.0,1.4142135623730951,6
Qwen2.5-7B-Instruct,goodness,goodness,-5.0,constitution,7.166666666666667,2.3353849765093866,3.7666666666666666,1.0400044208570938,6.333333333333333,1.093344547181068,30
Qwen2.5-7B-Instruct,goodness,goodness,0.0,6-prompt,4.666666666666667,3.011090610836324,7.0,2.6832815729997477,8.0,2.0,6
Qwen2.5-7B-Instruct,goodness,goodness,0.0,constitution,7.266666666666667,1.5521583045227216,7.133333333333334,1.252124631158585,8.566666666666666,0.7738543627276673,30
Qwen2.5-7B-Instruct,goodness,goodness,5.0,6-prompt,4.166666666666667,2.228601953392904,8.0,1.0954451150103321,8.833333333333334,0.408248290463863,6
